"filename", "language", "CMake", "C++", "Markdown", "JavaScript", "JSON", "Ini", "Batch", "comment", "blank", "total"
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\MysqlPool.h", "C++", 0, 29, 0, 0, 0, 0, 0, 1, 5, 35
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\RedisMgr.h", "C++", 0, 26, 0, 0, 0, 0, 0, 3, 9, 38
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\Singleton.h", "C++", 0, 29, 0, 0, 0, 0, 0, 9, 5, 43
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\const.h", "C++", 0, 19, 0, 0, 0, 0, 0, 17, 4, 40
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\data.h", "C++", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\message.grpc.pb.h", "C++", 0, 870, 0, 0, 0, 0, 0, 52, 13, 935
"e:\qt_project\SyncCanvas\LogicServer\include\LogicServer\message.pb.h", "C++", 0, 3105, 0, 0, 0, 0, 0, 258, 296, 3659
"e:\qt_project\SyncCanvas\LogicServer\src\ConfigMgr.cpp", "C++", 0, 40, 0, 0, 0, 0, 0, 3, 4, 47
"e:\qt_project\SyncCanvas\LogicServer\src\LogicServer.cpp", "C++", 0, 52, 0, 0, 0, 0, 0, 9, 10, 71
"e:\qt_project\SyncCanvas\LogicServer\src\LogicServiceImpl.cpp", "C++", 0, 178, 0, 0, 0, 0, 0, 22, 24, 224
"e:\qt_project\SyncCanvas\LogicServer\src\MysqlDao.cpp", "C++", 0, 148, 0, 0, 0, 0, 0, 13, 22, 183
"e:\qt_project\SyncCanvas\LogicServer\src\MysqlMgr.cpp", "C++", 0, 20, 0, 0, 0, 0, 0, 2, 5, 27
"e:\qt_project\SyncCanvas\LogicServer\src\MysqlPool.cpp", "C++", 0, 65, 0, 0, 0, 0, 0, 3, 3, 71
"e:\qt_project\SyncCanvas\LogicServer\src\RedisMgr.cpp", "C++", 0, 163, 0, 0, 0, 0, 0, 17, 15, 195
"e:\qt_project\SyncCanvas\LogicServer\src\message.grpc.pb.cc", "C++", 0, 224, 0, 0, 0, 0, 0, 3, 47, 274
"e:\qt_project\SyncCanvas\LogicServer\src\message.pb.cc", "C++", 0, 2862, 0, 0, 0, 0, 0, 251, 248, 3361
"e:\qt_project\SyncCanvas\README.md", "Markdown", 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"e:\qt_project\SyncCanvas\VerifyServer\config.js", "JavaScript", 0, 0, 0, 13, 0, 0, 0, 4, 5, 22
"e:\qt_project\SyncCanvas\VerifyServer\config.json", "JSON", 0, 0, 0, 0, 17, 0, 0, 0, 2, 19
"e:\qt_project\SyncCanvas\VerifyServer\const.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 1, 2, 10
"e:\qt_project\SyncCanvas\VerifyServer\email.js", "JavaScript", 0, 0, 0, 25, 0, 0, 0, 9, 6, 40
"e:\qt_project\SyncCanvas\VerifyServer\package-lock.json", "JSON", 0, 0, 0, 0, 563, 0, 0, 0, 1, 564
"e:\qt_project\SyncCanvas\VerifyServer\package.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 1, 21
"e:\qt_project\SyncCanvas\VerifyServer\proto.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 9, 7, 26
"e:\qt_project\SyncCanvas\VerifyServer\redis.js", "JavaScript", 0, 0, 0, 61, 0, 0, 0, 27, 3, 91
"e:\qt_project\SyncCanvas\VerifyServer\server.js", "JavaScript", 0, 0, 0, 55, 0, 0, 0, 6, 12, 73
"Total", "-", 542, 46587, 66, 171, 1010, 102, 81, 4470, 5038, 58067
